,date,country,GDP,quarter,ADM0_ISO,sum,mean,std,year
835,2023-12-31,日本,1,4,JPN,3903099.414371178,0.10238527479718063,1.5629962101570871,2023
836,2024-03-31,日本,-0.7,1,JPN,4090241.278051119,0.1072945659937977,1.644379837729369,2024
900,2013-03-31,印度,4.3,1,IND,10064546.326711208,0.6831313340098054,3.6071296207756087,2013
901,2013-06-30,印度,6.45,2,IND,9454762.360251602,0.5904538664541829,2.843333162855307,2013
902,2013-09-30,印度,7.34,3,IND,5922098.452073064,0.37430022318700074,2.2317853198896205,2013
903,2013-12-31,印度,6.53,4,IND,11875279.686921284,0.7693233103853142,4.01792107752398,2013
904,2014-03-31,印度,5.34,1,IND,11270706.572823385,0.7241058466702893,3.582834759819301,2014
905,2014-06-30,印度,8.02,2,IND,10541622.059414221,0.6642514507601058,3.0461373368836604,2014
906,2014-09-30,印度,8.7,3,IND,9231667.824194329,0.5822479269644045,3.1250727486039556,2014
907,2014-12-31,印度,5.92,4,IND,11002386.089805076,0.8367462185255251,4.983675476306253,2014
908,2015-03-31,印度,7.11,1,IND,12764265.988713115,0.797775799928211,4.103194456311689,2015
909,2015-06-30,印度,7.59,2,IND,10733527.122617783,0.6733041760322611,4.144314671794748,2015
910,2015-09-30,印度,8.03,3,IND,8849605.050626388,0.5636533234985687,3.411993844676314,2015
911,2015-12-31,印度,7.2,4,IND,12728422.749664987,0.7964439424693767,3.752099377563258,2015
912,2016-03-31,印度,9.09,1,IND,10764565.30296556,0.8127494319007084,3.8001871725269836,2016
913,2016-06-30,印度,8.68,2,IND,11149528.549187675,0.701504419642478,3.29997538393656,2016
914,2016-09-30,印度,9.67,3,IND,8458265.8637343,0.5442906353728924,2.7688966056078006,2016
915,2016-12-31,印度,8.58,4,IND,12137559.773204535,0.8464399861403885,8.821608388798603,2016
916,2017-03-31,印度,6.29,1,IND,14250413.108324962,0.8897122948469655,4.597719904489947,2017
917,2017-06-30,印度,6.11,2,IND,14465550.799660137,0.9019675986545718,3.8897605716320087,2017
918,2017-09-30,印度,5.32,3,IND,12124998.135549715,0.756279047578187,4.147915364285023,2017
